Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description
Hayati Al Haramain Perfumesfor women and men,for women and men,4.21,136,"['musky', 'oud', 'powdery', 'woody', 'amber', 'rose', 'sweet', 'animalic']",['Christian Carbonnel'],"HayatibyAl Haramain Perfumesis a Amber Floral fragrance for women and men. The nose behind this fragrance is Christian Carbonnel. Top notes are Musk and Amber; middle notes are Musk, Rose and Sugar; base notes are Musk, Agarwood (Oud) and Woody Notes."
Junoon Al Haramain Perfumesfor women,for women,3.99,220,"['powdery', 'vanilla', 'iris', 'sweet']",['Christian Carbonnel'],"JunoonbyAl Haramain Perfumesis a Floral fragrance for women.Junoonwas launched in 2016. The nose behind this fragrance is Christian Carbonnel. Top notes are Powdery Notes, Rose, Ylang-Ylang and Jasmine; middle notes are Iris, Tonka Bean, Rose and Jasmine; base notes are Heliotrope, Vanilla and Musk."
Urbanist Homme Al Haramain Perfumesfor men,for men,3.84,19,"['aromatic', 'citrus', 'woody', 'fresh spicy', 'amber', 'powdery', 'musky', 'white floral', 'lavender', 'sweet']",['Christian Carbonnel'],"Urbanist HommebyAl Haramain Perfumesis a Amber Spicy fragrance for men. The nose behind this fragrance is Christian Carbonnel. Top notes are Petitgrain, Orange and Lemon; middle notes are Lavender, Rosemary and Jasmine; base notes are Amber, Musk, Sandalwood and Tonka Bean."
God Is A Woman Ariana Grandefor women,for women,3.89,"2,470","['fruity', 'sweet', 'powdery', 'vanilla', 'aquatic', 'musky', 'floral', 'fresh', 'iris', 'woody']",['Jérôme Epinette'],God Is A WomanbyAriana Grandeis a Amber Floral fragrance for women.God Is A Womanwas launched in 2021. The nose behind this fragrance is Jérôme Epinette. Top notes are Pear and Ambrette (Musk Mallow); middle notes are Orris and Turkish Rose; base notes are Madagascar Vanilla and Sandalwood.
R.E.M. Ariana Grandefor women,for women,3.91,"2,714","['sweet', 'lavender', 'powdery', 'caramel', 'fruity', 'salty', 'aromatic', 'musky', 'woody', 'floral']","['Clement Gavarry', 'Dora Baghriche']","R.E.M.byAriana Grandeis a Amber Vanilla fragrance for women.R.E.M.was launched in 2020. R.E.M. was created by Dora Baghriche and Clement Gavarry. Top notes are Zefir, Caramel, Salt, Fig and Quince; middle notes are Lavender and Pear Blossom; base notes are Musk, Tonka Bean and Sandalwood."
God Is A Woman Body Mist Ariana Grandefor women,for women,4,9,"['vanilla', 'fruity', 'sweet', 'powdery', 'floral', 'musky', 'woody', 'aquatic', 'iris', 'rose']",['Jérôme Epinette'],God Is A Woman Body MistbyAriana Grandeis a Amber Floral fragrance for women. The nose behind this fragrance is Jérôme Epinette. Top notes are Pear and Musk Mallow; middle notes are Turkish Rose and Orris; base notes are Madagascar Vanilla and Sandalwood.
"Thank U, Next Body Mist Ariana Grandefor women",for women,4.04,23,"['sweet', 'coconut', 'fruity', 'vanilla', 'almond', 'musky']",['Jérôme Epinette'],"Thank U, Next Body MistbyAriana Grandeis a Floral Fruity Gourmand fragrance for women. The nose behind this fragrance is Jérôme Epinette. Top notes are Raspberry and Pear; middle notes are Coconut and Pink Rose; base notes are Macarons and Musk."
Cloud Ariana Grandefor women,for women,3.99,"12,730","['sweet', 'lactonic', 'vanilla', 'coconut', 'musky']",['Clement Gavarry'],"CloudbyAriana Grandeis a Floral Fruity Gourmand fragrance for women.Cloudwas launched in 2018. The nose behind this fragrance is Clement Gavarry. Top notes are Lavender, Pear and Bergamot; middle notes are Whipped Cream, Coconut, Praline and Vanilla Orchid; base notes are Musk and Woody Notes."
Cloud Pink Ariana Grandefor women,for women,4.04,"1,043","['sweet', 'fruity', 'tropical', 'musky', 'floral', 'woody', 'lactonic', 'powdery', 'amber']",['Clement Gavarry'],"Cloud PinkbyAriana Grandeis a Amber Vanilla fragrance for women. This is a new fragrance.Cloud Pinkwas launched in 2023. The nose behind this fragrance is Clement Gavarry. Top notes are Pitahaya, Wild Berries and Pineapple; middle notes are Coconut Water, Vanilla Orchid and Ambrette; base notes are Praline, Musk, Amberwood and Moss."
Mod Blush Ariana Grandefor women,for women,3.82,806,"['fruity', 'sweet', 'musky', 'rose', 'floral', 'citrus', 'tropical', 'powdery', 'fresh', 'amber']",['Frank Voelkl'],"Mod BlushbyAriana Grandeis a fragrance for women. This is a new fragrance.Mod Blushwas launched in 2022. The nose behind this fragrance is Frank Voelkl. Top notes are Raspberry, Passionfruit, Pink Pepper and Bergamot; middle notes are Rose, Pear and Magnolia; base notes are Musk, Ambroxan, Dreamwood and Sandalwood."
